index,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Hardness Value,Experimental Hardness ,Notes
19,0,0.174,0,0,0,0.174,0.174,0,0.174,0,0,0,0,0,0,0.13,0,0.174,0,0,0,0,0,0,0,0,0,0,0,781.023966,831,
194,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753.927218,439,
93,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,719.522634,1019,
228,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,691.219248,1002,
229,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,684.431618,574,
149,0,0,0,0,0,0,0.222,0,0.222,0,0,0,0,0,0,0,0,0.222,0,0,0,0,0,0,0,0.111,0.222,0,0,684.382558,,
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,681.25126,,
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0,680.704406,289,"Multiple phases, intermetallics"
201,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,676.659324,289,"Multiple phases, intermetallics"
34,0,0.147,0,0,0,0.147,0.147,0.147,0,0,0,0,0,0,0,0,0,0.147,0,0,0,0,0,0,0.147,0,0,0.118,0,666.35011,949,
95,0,0,0,0,0,0.238,0.238,0,0,0,0,0,0,0,0.238,0.238,0,0,0,0,0,0,0,0,0.048,0,0,0,0,663.08635,,
198,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,653.49219,,
86,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,649.210888,645,
110,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,646.00246,528,
32,0,0.143,0,0,0,0.143,0.143,0.143,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0.143,0,0,0.143,0,635.48856,,
